Month,Sales
18-Jan,33848
18-Feb,32254
18-Mar,61393
18-Apr,71872
18-May,84000
18-Jun,73000
18-Jul,74000
18-Aug,90000
18-Sep,106660
18-Oct,120198
18-Nov,139625
18-Dec,166203
19-Jan,84803
19-Feb,49285
19-Mar,118222
19-Apr,89621
19-May,95630
19-Jun,137291
19-Jul,66677
19-Aug,79740
19-Sep,72549
19-Oct,66118
19-Nov,76479
19-Dec,125420
20-Jan,41756
20-Feb,11481
20-Mar,46837
20-Apr,63154
20-May,74075
20-Jun,91998
20-Jul,88683
20-Aug,100173
20-Sep,125387
20-Oct,147993
20-Nov,186461
20-Dec,225699
21-Jan,171782
21-Feb,106060
21-Mar,211960
21-Apr,192736
21-May,204138
21-Jun,241407
